created_at,entry_id,voltage,current,power,energy,power factor
2019-09-30 12:48:11 CST,1,230.8,0,0.9,3.676,1
2019-09-30 12:49:12 CST,2,227,7.976,1788.40002,3.686,0.99
2019-09-30 12:50:13 CST,3,227,8.684,1947.30005,3.718,0.99
2019-09-30 12:51:15 CST,4,227.10001,9.113,2046.30005,3.752,0.99
2019-09-30 12:52:16 CST,5,226.8,9.29,2085,3.787,0.99
2019-09-30 12:53:19 CST,6,226.8,9.333,2092,3.823,0.99
2019-09-30 12:54:21 CST,7,227.39999,9.332,2098.19995,3.86,0.99
2019-09-30 12:55:22 CST,8,227.10001,9.323,2094.30005,3.896,0.99
2019-09-30 12:56:24 CST,9,226.89999,9.37,2103.1001,3.932,0.99
2019-09-30 12:57:25 CST,10,226.10001,9.427,2107.1001,3.968,0.99
2019-09-30 12:58:27 CST,11,227.2,9.401,2113.19995,4.004,0.99
2019-09-30 12:59:29 CST,12,226.3,9.413,2105.80005,4.04,0.99
2019-09-30 13:00:30 CST,13,225.2,9.441,2103.1001,4.076,0.99
2019-09-30 13:01:32 CST,14,225.10001,9.428,2099.80005,4.112,0.99
2019-09-30 13:02:34 CST,15,224.5,9.445,2099.19995,4.148,0.99
2019-09-30 13:03:35 CST,16,224.8,9.393,2089.8999,4.184,0.99
2019-09-30 13:04:39 CST,17,223.60001,9.413,2083,4.219,0.99
2019-09-30 13:05:40 CST,18,229.5,9.23,2091.69995,4.256,0.99
2019-09-30 13:06:42 CST,19,229.8,9.217,2091.69995,4.292,0.99
2019-09-30 13:07:45 CST,20,228.7,9.219,2083.3999,4.328,0.99
2019-09-30 13:08:46 CST,21,228.7,9.249,2091,4.364,0.99
2019-09-30 13:09:47 CST,22,228.10001,9.294,2095.8999,4.4,0.99
2019-09-30 13:10:48 CST,23,227.8,9.304,2094.80005,4.435,0.99
2019-09-30 13:11:49 CST,24,227.7,9.277,2089.19995,4.471,0.99
2019-09-30 13:12:51 CST,25,227.8,9.316,2095.1001,4.507,0.99
2019-09-30 13:13:52 CST,26,227.89999,9.274,2088.19995,4.542,0.99
2019-09-30 13:14:53 CST,27,227.60001,9.252,2081.5,4.578,0.99
2019-09-30 13:15:55 CST,28,226.8,9.263,2078.1001,4.613,0.99
2019-09-30 13:16:56 CST,29,226.60001,9.264,2075.5,4.649,0.99
2019-09-30 13:17:58 CST,30,225.5,9.321,2079.1001,4.684,0.99
2019-09-30 13:18:59 CST,31,225.10001,9.322,2075.19995,4.72,0.99
2019-09-30 13:20:00 CST,32,224.89999,9.37,2083.30005,4.755,0.99
2019-09-30 13:21:01 CST,33,224.7,9.351,2077.5,4.79,0.99
2019-09-30 13:22:02 CST,34,224.7,9.304,2068.6001,4.825,0.99
2019-09-30 13:23:03 CST,35,224.7,9.315,2071.80005,4.861,0.99
2019-09-30 13:24:05 CST,36,225.39999,9.27,2066.80005,4.896,0.99
2019-09-30 13:25:06 CST,37,225.60001,9.251,2064.6001,4.931,0.99
2019-09-30 13:26:08 CST,38,225.60001,9.283,2070.19995,4.967,0.99
2019-09-30 13:27:10 CST,39,225.89999,9.262,2068.80005,5.002,0.99
2019-09-30 13:28:11 CST,40,224.60001,9.314,2069.6001,5.038,0.99
2019-09-30 13:29:12 CST,41,224.5,9.326,2070.80005,5.073,0.99
2019-09-30 13:30:13 CST,42,224.39999,9.348,2076.69995,5.108,0.99
2019-09-30 13:31:14 CST,43,226.39999,9.314,2086.1001,5.143,0.99
2019-09-30 13:32:15 CST,44,227.10001,9.311,2090.3999,5.179,0.99
2019-09-30 13:33:17 CST,45,227.39999,9.253,2080.80005,5.214,0.99
2019-09-30 13:34:19 CST,46,227.3,9.252,2078.1001,5.25,0.99
2019-09-30 13:35:20 CST,47,227.2,9.272,2082.30005,5.286,0.99
2019-09-30 13:36:21 CST,48,227.10001,9.257,2078.8999,5.321,0.99
2019-09-30 13:37:23 CST,49,226.10001,9.294,2078.80005,5.357,0.99
2019-09-30 13:38:24 CST,50,226.3,9.29,2079.19995,5.392,0.99
2019-09-30 13:39:25 CST,51,225.89999,9.309,2080.1001,5.427,0.99
